City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
632,Sidhauli,IN,85.89,clear sky,27.2833,80.8333,Rainbow Garden
634,Kloulklubed,PW,86.5,moderate rain,7.0419,134.2556,Storyboard Beach Resort
635,Brownsville,US,83.91,few clouds,25.9018,-97.4975,University Inn & Suites
641,Avenal,US,80.65,clear sky,36.0041,-120.129,Lodge House Inn The
645,Carutapera,BR,77.97,overcast clouds,-1.195,-46.02,Lidera
650,Tondano,ID,82.49,light rain,1.3038,124.9112,Villa Bella
655,Samana,DO,76.87,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
656,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
660,Mitsamiouli,KM,76.39,clear sky,-11.3847,43.2844,Foyer ADM
665,Tautira,PF,80.62,scattered clouds,-17.7333,-149.15,Pension Oaoa
666,Guia De Isora,ES,76.12,clear sky,28.2115,-16.7795,La Vista Pension
668,Phrae,TH,83.86,light rain,18.0833,100.0,Gingerbread Cottage Resort & Spa
671,Fremont,US,80.85,clear sky,37.5483,-121.9886,All Suites Islander Motels
672,Puerto Escondido,MX,83.23,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
677,Niamey,NE,84.49,clear sky,13.5137,2.1098,Soluxe Hotel Niamey
678,Bonthe,SL,76.93,light rain,7.5264,-12.505,Bonthe Holiday Village
680,Wencheng,CN,82.51,clear sky,33.0559,113.7978,Ruyi Hostel
681,Sunrise Manor,US,79.97,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
683,Paicandu,BR,79.47,clear sky,-23.4575,-52.0486,Dallas Motel 4 (Paiçandu)
685,Karangampel,ID,88.88,broken clouds,-6.4622,108.4519,ROOFTOP WAG ALL
687,Thinadhoo,MV,82.22,overcast clouds,0.5333,72.9333,
690,Belmonte,BR,75.7,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
691,Mayumba,GA,75.25,overcast clouds,-3.432,10.6554,LIKWALE LODGE
692,Maibong,IN,82.65,broken clouds,25.3,93.1667,Juhi Cottage Maibang
699,Cayenne,GF,83.08,light rain,4.9333,-52.3333,Hôtel Le Dronmi
701,Matamoros,MX,86.11,scattered clouds,25.5333,-103.25,Quinta Belem
705,Hope,US,77.07,few clouds,33.6671,-93.5916,Best Western Hope
708,Hamada,JP,77.72,broken clouds,34.8833,132.0833,Shimane Hamada Washington Hotel Plaza
709,Kandrian,PG,82.6,moderate rain,-6.2167,149.55,Kandrian Station
713,Darab,IR,78.78,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
715,Ojinaga,MX,77.95,clear sky,29.5667,-104.4167,Suites Las Palmas
